date,season,HomeTeam,AwayTeam,gf,ga,home_rolling_xg,away_rolling_xg,home_rolling_xga,away_rolling_xga,home_rolling_points,away_rolling_points,home_rolling_poss,away_rolling_poss,home_rolling_sot_ratio,away_rolling_sot_ratio,xg_diff,xga_diff,outcome,over_2_5
2020-10-04,2021,Arsenal,Sheffield United,2,1,1.4333333333333333,1.0999999999999999,1.6000000000000003,1.2,2.0,0.0,50.0,40.0,0.5210622710622711,0.13227513227513227,0.3333333333333335,0.40000000000000036,0,1
2020-10-25,2021,Arsenal,Leicester,0,1,1.16,1.6199999999999999,1.2600000000000002,1.0799999999999998,1.8,1.8,51.2,55.6,0.5338494838494838,0.4675324675324675,-0.45999999999999996,0.18000000000000038,2,0
2020-11-08,2021,Arsenal,Aston Villa,0,3,0.9,1.6199999999999999,1.06,1.3,1.2,1.8,48.4,42.8,0.4712121212121213,0.4355555555555556,-0.7199999999999999,-0.24,2,1
2020-11-29,2021,Arsenal,Wolves,1,2,1.0,0.9400000000000001,1.2,1.0,0.8,1.6,47.4,47.8,0.22975912975912977,0.3298809523809524,0.05999999999999994,0.19999999999999996,2,1
2020-12-13,2021,Arsenal,Burnley,0,1,1.1,0.76,1.22,1.56,0.8,1.0,52.8,39.6,0.1756798756798757,0.22722222222222221,0.3400000000000001,-0.3400000000000001,2,0
2020-12-16,2021,Arsenal,Southampton,1,1,1.22,1.1199999999999999,1.4200000000000002,1.2200000000000002,0.2,2.0,56.6,56.8,0.209013209013209,0.3699206349206349,0.10000000000000009,0.19999999999999996,1,0
2020-12-26,2021,Arsenal,Chelsea,3,1,1.14,1.72,1.06,0.62,0.2,1.4,56.6,57.0,0.23935508935508937,0.36653694131955,-0.5800000000000001,0.44000000000000006,0,1
2021-01-14,2021,Arsenal,Crystal Palace,0,0,1.7600000000000002,0.6799999999999999,1.24,1.8199999999999998,2.0,1.0,48.8,44.6,0.35057720057720054,0.4011965811965812,1.0800000000000003,-0.5799999999999998,1,0
2021-01-18,2021,Arsenal,Newcastle,3,0,1.72,0.66,1.16,1.6199999999999999,2.0,0.4,55.0,36.4,0.3344155844155844,0.3155844155844156,1.06,-0.45999999999999996,0,1
2021-01-30,2021,Arsenal,Man United,0,0,1.9600000000000002,1.4400000000000002,0.72,1.0799999999999998,2.6,2.0,57.2,56.4,0.38092352092352094,0.4132478632478632,0.52,-0.3599999999999999,1,0
2021-02-14,2021,Arsenal,Leeds,4,2,1.42,1.26,1.06,1.32,1.4,1.8,52.2,60.6,0.29370681605975724,0.4214402427637721,0.15999999999999992,-0.26,0,1
2021-02-21,2021,Arsenal,Man City,0,1,1.4,2.04,1.2,0.5599999999999999,1.4,3.0,48.2,64.8,0.3003734827264239,0.49409340659340667,-0.6400000000000001,0.64,2,0
2021-03-14,2021,Arsenal,Tottenham,2,1,1.64,1.56,1.08,1.0400000000000003,1.4,1.8,54.2,53.8,0.21930735930735928,0.34099206349206346,0.07999999999999985,0.039999999999999813,0,1
2021-04-03,2021,Arsenal,Liverpool,0,3,1.64,1.24,1.22,1.1400000000000001,1.6,1.2,54.8,59.0,0.2181168831168831,0.31273809523809526,0.3999999999999999,0.07999999999999985,2,1
2021-04-18,2021,Arsenal,Fulham,1,1,1.48,1.02,1.3199999999999998,1.28,1.6,0.6,52.8,46.2,0.33976190476190476,0.2884981684981685,0.45999999999999996,0.039999999999999813,1,0
2021-04-23,2021,Arsenal,Everton,0,1,1.52,1.3000000000000003,1.2799999999999998,1.3,1.6,0.6,54.8,49.2,0.3686507936507937,0.2746358543417367,0.21999999999999975,-0.02000000000000024,2,0
2021-05-09,2021,Arsenal,West Brom,3,1,1.4600000000000002,1.54,0.8799999999999999,1.98,1.4,1.6,56.0,35.2,0.3452798663324979,0.3480952380952381,-0.07999999999999985,-1.1,0,1
2021-05-23,2021,Arsenal,Brighton,2,0,1.2200000000000002,1.3,1.08,1.0,2.4,1.4,57.2,52.6,0.3582957393483709,0.32021671826625386,-0.07999999999999985,0.08000000000000007,0,0
2021-08-22,2022,Arsenal,Chelsea,0,2,1.08,1.92,1.2,0.9,2.4,1.8,56.8,62.0,0.3721969696969697,0.3411158540163116,-0.8399999999999999,0.29999999999999993,2,0
2021-09-11,2022,Arsenal,Norwich,1,0,0.8800000000000001,1.0,1.98,1.9000000000000001,1.2,0.0,48.2,42.666666666666664,0.2988636363636364,0.14835164835164835,-0.11999999999999988,0.07999999999999985,0,0
2021-09-26,2022,Arsenal,Tottenham,3,1,1.12,0.8599999999999998,2.08,1.7,1.2,1.8,44.8,43.8,0.22251748251748255,0.4302930402930403,0.26000000000000034,0.3800000000000001,0,1
2021-10-18,2022,Arsenal,Crystal Palace,2,2,1.1,1.3399999999999999,1.6400000000000001,1.3,2.0,1.2,42.6,52.6,0.2528205128205128,0.21209509444803562,-0.23999999999999977,0.3400000000000001,1,1
2021-10-22,2022,Arsenal,Aston Villa,3,1,1.4000000000000001,1.0399999999999998,0.9,1.5,2.2,1.2,49.4,46.2,0.3234087481146305,0.30666666666666664,0.3600000000000003,-0.6,0,1
2021-11-07,2022,Arsenal,Watford,1,0,1.32,1.2600000000000002,1.1,1.9600000000000002,2.2,0.8,46.2,40.6,0.4245564892623716,0.3,0.05999999999999983,-0.8600000000000001,0,0
2021-11-27,2022,Arsenal,Newcastle,2,0,1.4200000000000002,0.5400000000000003,1.64,1.64,2.0,0.6,48.2,34.2,0.45481289951878184,0.1981366459627329,0.8799999999999999,0.0,0,0
2021-12-11,2022,Arsenal,Southampton,3,0,1.3800000000000001,1.1400000000000001,1.5799999999999998,1.4200000000000002,1.2,1.0,56.6,48.6,0.3892760180995475,0.36168067226890754,0.24,0.1599999999999997,0,1
2021-12-15,2022,Arsenal,West Ham,2,0,1.4200000000000002,0.9,1.6,1.34,1.2,1.0,56.8,42.4,0.37901960784313726,0.36392857142857143,0.5200000000000001,0.26,0,0
2022-01-01,2022,Arsenal,Man City,1,2,2.32,2.7800000000000002,0.72,0.78,2.4,3.0,58.4,70.6,0.3776190476190476,0.37411718871746924,-0.4600000000000004,-0.06000000000000005,2,1
2022-01-23,2022,Arsenal,Burnley,0,0,2.2800000000000002,0.74,0.9400000000000001,1.36,2.4,0.4,51.6,43.0,0.37476190476190474,0.18555555555555556,1.5400000000000003,-0.42000000000000004,1,0
2022-02-19,2022,Arsenal,Brentford,2,1,1.9600000000000002,1.22,0.9800000000000001,1.48,2.0,0.2,51.8,38.8,0.3214285714285714,0.26262626262626265,0.7400000000000002,-0.4999999999999999,0,1
2022-02-24,2022,Arsenal,Wolves,2,1,1.6,1.06,0.78,1.3199999999999998,2.0,2.4,55.2,46.0,0.2654761904761905,0.39229437229437225,0.54,-0.5399999999999998,0,1
2022-03-13,2022,Arsenal,Leicester,2,0,1.7600000000000002,1.1,0.76,1.2,2.6,1.4,59.0,52.0,0.23012820512820512,0.30785077667430605,0.6600000000000001,-0.43999999999999995,0,0
2022-03-16,2022,Arsenal,Liverpool,0,2,2.0,3.16,0.76,0.82,3.0,3.0,53.2,62.8,0.24012820512820512,0.3688004355347155,-1.1600000000000001,-0.05999999999999994,2,0
2022-04-09,2022,Arsenal,Brighton,1,2,1.2,1.2399999999999998,0.8400000000000001,1.5,1.8,0.2,54.4,59.4,0.2644444444444444,0.17166666666666666,-0.039999999999999813,-0.6599999999999999,2,1
2022-04-23,2022,Arsenal,Man United,3,1,1.54,0.9400000000000001,0.82,1.2399999999999998,1.2,1.4,58.6,50.8,0.24832775919732444,0.4675757575757576,0.6,-0.4199999999999998,0,1
2022-05-08,2022,Arsenal,Leeds,2,1,1.7599999999999998,1.1400000000000001,0.8800000000000001,1.6,1.8,1.6,53.8,49.6,0.33832775919732444,0.28968253968253965,0.6199999999999997,-0.72,0,1
2022-05-22,2022,Arsenal,Everton,5,1,1.26,1.1,1.3800000000000001,1.02,1.8,2.0,50.6,36.0,0.4422115895800106,0.42027777777777775,0.15999999999999992,0.3600000000000001,0,1
